,A,B,C,D,E,F,G,H,I,J
675,RF-1813,GoFly Holidays,CCU-BOM,9100,24-03-2026,01-04-2026,Closed,Faizan K.,Portal,done
676,RF-1406,Sunrise Trips,DEL-BOM,7600,24-04-2026,06-05-2026,Closed,Faizan K.,Phone,refund given
677,RF-1394,BlueJet Tours,DEL-KTM,11300,20-04-2026,26-04-2026,Closed,Faizan K.,Email,customer notified
678,RF-1638,Wander Agency,MAA-CMB,7400,22-05-2026,23-05-2026,Closed,Rakesh N.,Portal,refund given
679,RF-1235,TripHub,HYD-DEL,8600,24-06-2026,30-06-2026,Closed,,Portal,refund given
680,RF-1139,Nomad Travel,DEL-DXB,15900,06-05-2026,16-05-2026,Closed,Rakesh N.,Portal,refund given
681,RF-1626,Peak Journeys,BOM-BKK,28100,18-05-2026,07-06-2026,Closed,Faizan K.,Portal,refund given
682,RF 1672,TripHub,DEL-SIN,26400,14-05-2026,03/06/26,Closed,Vikram T.,Phone,done
683,RF-1684,Peak Journeys,BOM-BKK,13500,04-02-2026,12-02-2026,Closed,Faizan K.,Portal,closed - agent informed
684,RF-1359,ZipTrip,COK-DXB,15600,08-02-2026,13-02-2026,Closed,Vikram T.,Portal,done
685,RF-1592,BlueJet Tours,BLR-MAA,6400,12-03-2026,17-03-2026,Closed,Sneha R.,Phone,closed - agent informed
686,RF-1377,Voyage Desk,DEL-KUL,14100,30-05-2026,02-06-2026,Not Eligible,Priya S.,Portal,past cancellation window
687,RF-1578,Peak Journeys,HYD-DEL,6800,15-03-2026,24-03-2026,Closed,Rakesh N.,Portal,customer notified
688,RF-1447,Wander Agency,BOM-DXB,16900,19-05-2026,29-05-2026,Closed,Faizan K.,Email,done
689,RF-1217,Peak Journeys,CCU-BOM,9100,20-02-2026,28-02-2026,Closed,Aditi M.,Portal,refund given
690,RF-1691,BlueJet Tours,CCU-BOM,14500,07-04-2026,14-04-2026,Closed,Rakesh N.,Portal,done
691,RF-1485,Coral Voyages,GOI-BOM,5500,21-02-2026,25-02-2026,Closed,Sneha R.,Portal,closed - agent informed
692,RF-1799,Nomad Travel,DEL-CCU,5800,03-06-2026,12-06-2026,Closed,Faizan K.,Phone,amount credited as per process
693,RF-1037,BlueJet Tours,DEL-SIN,38500,28-03-2026,02-04-2026,Closed,Faizan K.,Portal,customer notified
694,RF-1517,Nomad Travel,PNQ-DEL,12100,13-02-2026,13-02-2026,Closed,Rakesh N.,Phone,customer notified
695,rf-1089,Sunrise Trips,DEL-SIN,31100,15-04-2026,25-04-2026,Closed,Aditi M.,Portal,refund given
696,RF-1189,BlueJet Tours,AMD-BOM,9300,03-04-2026,11-04-2026,Closed,Faizan K.,WhatsApp,customer notified
697,RF-1568,Wander Agency,BOM-BKK,29300,29-06-2026,30/06/26,Not Eligible,Sneha R.,WhatsApp,past cancellation window
698,RF-1748,Himalaya Holidays,BLR-MAA,3500,16-06-2026,25-06-2026,Closed,Aditi M.,Portal,closed - agent informed
699,RF-1370,GoFly Holidays,DEL-BOM,5700,31-03-2026,06-04-2026,Closed,Rakesh N.,Portal,refund given
700,RF-1367,BlueJet Tours,BLR-DXB,23200,05/02/26,16-02-2026,Closed,Rakesh N.,Email,customer notified
701,RF-1501,Peak Journeys,CCU-BOM,11500,29-04-2026,06-05-2026,Closed,Aditi M.,Portal,customer notified
702,RF-1457,GoFly Holidays,BLR-MAA,11000,04-06-2026,13-06-2026,Closed,Faizan K.,Email,"refund processed, informed agent"
703,RF-1678,Kaveri Tours,HYD-BKK,27700,06-02-2026,11-02-2026,Closed,Priya S.,WhatsApp,customer notified
704,RF-1719,BlueJet Tours,PNQ-DEL,7600,13-02-2026,18-02-2026,Closed,Faizan K.,Portal,closed - agent informed
705,RF-1264,Global Wings,BOM-BKK,24200,10/04/26,18-04-2026,Closed,Rakesh N.,Email,"refund processed, informed agent"
706,RF-1241,GoFly Holidays,CCU-BOM,14400,13-02-2026,14-02-2026,Closed,Sneha R.,Phone,"refund processed, informed agent"
707,RF-1395,Wander Agency,COK-DXB,24100,23/04/26,30-04-2026,Closed,Priya S.,Portal,customer notified
708,RF-1854,DeccanFly,COK-DXB,20600,23-06-2026,24-06-2026,Closed,Priya S.,Portal,refund given
709,RF-1361,Orbit Travels,DEL-BOM,8600,13-06-2026,18-06-2026,Closed,Sneha R.,Email,amount credited as per process
710,RF-1682,Voyage Desk,COK-DXB,15700,25-03-2026,28-03-2026,Closed,Priya S.,Phone,customer notified
711,RF-1834,Wander Agency,HYD-BKK,13300,09-04-2026,16-04-2026,Closed,Rakesh N.,Portal,done
712,rf-1213,Wander Agency,DEL-BOM,12100,05-05-2026,14-05-2026,Closed,Faizan K.,WhatsApp,done
713,RF-1644,Wander Agency,BOM-DXB,16600,11-05-2026,16-05-2026,Closed,Rakesh N.,Email,refund given
714,RF-1322,BlueJet Tours,PNQ-DEL,11800,03-04-2026,13-04-2026,Closed,Faizan K.,Portal,customer notified
715,RF-1118,Lotus Travel Co,BOM-DXB,14600,04-05-2026,05-05-2026,Closed,Rakesh N.,Phone,customer notified
716,RF-1590,Wander Agency,BLR-MAA,9300,21-02-2026,25-02-2026,Closed,Sneha R.,Portal,customer notified
717,RF-1634,Sunrise Trips,DEL-KTM,12400,30-04-2026,07-05-2026,Closed,Rakesh N.,Portal,done
718,RF-1450,Voyage Desk,BLR-MAA,7000,24-02-2026,01-03-2026,Closed,Aditi M.,,amount credited as per process
719,RF-1654,Wander Agency,BOM-BKK,17200,29-05-2026,31-05-2026,Closed,Rakesh N.,Portal,customer notified
720,RF-1806,TripHub,BLR-MAA,6700,17/04/26,23-04-2026,Closed,Aditi M.,Portal,refund given
721,RF-1300,Kaveri Tours,COK-DXB,12500,08-02-2026,14-02-2026,Closed,Rakesh N.,Email,done
722,RF-1623,BlueJet Tours,DEL-SIN,32000,11-04-2026,15-04-2026,Closed,Faizan K.,Email,closed - agent informed
723,RF-1491,Nomad Travel,GOI-BOM,5200,16-04-2026,23-04-2026,Closed,Faizan K.,Portal,done
724,RF-1087,Nomad Travel,BOM-DXB,27500,12-04-2026,19-04-2026,Closed,Priya S.,Email,"refund processed, informed agent"
725,RF-1671,Peak Journeys,BLR-DXB,23600,26-02-2026,07-03-2026,Not Eligible,Faizan K.,Portal,past cancellation window
726,RF-1245,Sunrise Trips,HYD-BKK,15700,25-02-2026,04-03-2026,Closed,Faizan K.,Portal,closed - agent informed
727,RF-1372,BlueJet Tours,DEL-CCU,10100,20-02-2026,27-02-2026,Closed,Priya S.,Email,refund given
728,RF-1102,BlueJet Tours,BOM-BKK,25400,13-03-2026,18-03-2026,Closed,Faizan K.,Portal,closed - agent informed
729,RF-1157,Skyline Travels,GOI-BOM,9100,07/05/26,13-05-2026,Closed,Vikram T.,Email,amount credited as per process
730,RF-1575,Voyage Desk,DEL-KTM,12600,28/02/26,07-03-2026,Closed,Rakesh N.,Portal,done
731,RF-1329,SafarNama Travel,BOM-DXB,10600,22-04-2026,27-04-2026,Closed,Vikram T.,WhatsApp,amount credited as per process
732,RF-1220,Yatri Junction,DEL-DXB,16200,17-03-2026,21-03-2026,Closed,Faizan K.,Phone,amount credited as per process
733,RF-1607,GOFLY HOLIDAYS,DEL-BOM,11700,03/03/26,11-03-2026,Closed,Vikram T.,Email,closed - agent informed
734,RF-1828,Voyage Desk,DEL-BOM,12500,15-02-2026,24-02-2026,Closed,Aditi M.,Portal,closed - agent informed
735,RF-1051,Sunrise Trips,BLR-DXB,24800,25-05-2026,17-06-2026,Closed,Priya S.,Phone,amount credited as per process
736,RF-1041,GoFly Holidays,PNQ-DEL,6500,08-06-2026,20-06-2026,Closed,Aditi M.,Portal,"refund processed, informed agent"
737,RF-1612,global wings,DEL-CCU,6800,23-06-2026,27-06-2026,Working,Aditi M.,Phone,under review
738,RF-1503,BlueJet Tours,HYD-DEL,9200,16-02-2026,25-02-2026,Closed,Vikram T.,Portal,amount credited as per process
739,RF-1150,Orbit Travels,MAA-CMB,7900,26-06-2026,30-06-2026,Closed,Sneha R.,Portal,"refund processed, informed agent"
740,RF-1010,BlueJet Tours,DEL-BOM,10000,26-06-2026,30-06-2026,Closed,Aditi M.,WhatsApp,refund given
741,RF-1564,TripHub,COK-DXB,19700,06-06-2026,06-06-2026,Closed,Aditi M.,WhatsApp,done
742,RF-1172,Sunrise Trips,DEL-DXB,25500,25-04-2026,01-05-2026,Closed,,Phone,closed - agent informed
743,RF-1794,Sunrise Trips,DEL-KTM,8700,15-06-2026,18-06-2026,Closed,Vikram T.,Portal,customer notified
744,RF-1565,Peak Journeys,MAA-CMB,12900,27-02-2026,08-03-2026,Closed,Vikram T.,Portal,closed - agent informed
745,RF-1287,Metro Yatra,CCU-BOM,11100,27-04-2026,06-05-2026,Closed,Vikram T.,Portal,refund given
746,RF-1289,DeccanFly,MAA-CMB,15400,17-02-2026,27-02-2026,Closed,Priya S.,Portal,amount credited as per process
747,RF-1636,TripHub,MAA-CMB,15100,23-04-2026,30-04-2026,Closed,Vikram T.,Portal,"refund processed, informed agent"
748,RF-1293,Nomad Travel,PNQ-DEL,8000,19-02-2026,24-02-2026,Closed,Faizan K.,Email,closed - agent informed
749,RF-1420,TripHub,DEL-BOM,13000,22-04-2026,29-04-2026,Closed,Vikram T.,Portal,checking with finance
750,RF-1783,Metro Yatra,DEL-CCU,5200,24-06-2026,30-06-2026,Not Eligible,Aditi M.,Email,non-refundable fare
751,RF-1453,GoFly Holidays,DEL-KUL,20500,26/04/26,04-05-2026,Closed,Priya S.,Portal,closed - agent informed
752,RF-1599,Skyline Travels,PNQ-DEL,11400,03-06-2026,09-06-2026,Closed,Rakesh N.,Portal,refund given
753,RF-1428,Kaveri Tours,BLR-DXB,17800,02-02-2026,14-02-2026,Closed,Faizan K.,Phone,done
754,RF-1859,Himalaya Holidays,BLR-DXB,28600,06-04-2026,17-04-2026,Closed,Aditi M.,Email,amount credited as per process
755,RF-1380,TripHub,CCU-BOM,11700,23-04-2026,01-05-2026,Closed,Rakesh N.,Phone,"refund processed, informed agent"
756,RF-1852,Metro Yatra,CCU-BOM,13000,23-03-2026,28-03-2026,Closed,Faizan K.,Portal,closed - agent informed
